,Humidity,Temperature (C),IsBiodegradable
0,0.89,9.472222222222221,1
1,0.86,9.355555555555561,1
2,0.89,9.37777777777778,1
3,0.83,8.28888888888889,1
4,0.83,8.75555555555555,1
5,0.85,9.222222222222221,1
6,0.95,7.73333333333333,1
7,0.89,8.77222222222222,1
8,0.82,10.8222222222222,1
9,0.72,13.772222222222199,1
10,0.67,16.016666666666698,0
11,0.54,17.1444444444444,0
12,0.55,17.8,0
13,0.51,17.3333333333333,0
14,0.47,18.8777777777778,0
15,0.46,18.9111111111111,0
16,0.6,15.3888888888889,0
17,0.63,15.55,0
18,0.69,14.255555555555599,1
19,0.7,13.144444444444401,1
20,0.77,11.55,1
21,0.76,11.183333333333302,1
22,0.79,10.1166666666667,1
23,0.77,10.2,1
24,0.62,10.4222222222222,0
25,0.66,9.91111111111111,1
26,0.8,11.183333333333302,1
27,0.79,7.155555555555559,1
28,0.82,6.111111111111111,1
29,0.83,6.78888888888889,1
30,0.85,7.26111111111111,1
31,0.83,7.8,1
32,0.78,9.87222222222223,1
33,0.72,12.2222222222222,1
34,0.61,15.0944444444444,0
35,0.52,17.3555555555556,0
36,0.46,19.0055555555555,0
37,0.4,20.044444444444398,0
38,0.4,21.05,0
39,0.37,21.1833333333333,0
40,0.4,20.1166666666667,0
41,0.36,20.216666666666697,0
42,0.43,20.0,0
43,0.5,17.8,0
44,0.53,16.0611111111111,0
45,0.55,15.022222222222199,0
46,0.58,14.4222222222222,0
47,0.59,14.255555555555599,0
48,0.6,13.772222222222199,0
49,0.63,13.283333333333301,0
50,0.87,8.63333333333333,1
51,0.83,11.25,1
52,0.89,11.183333333333302,1
53,0.95,10.6944444444444,1
54,0.93,11.1111111111111,1
55,0.93,11.1111111111111,1
56,0.82,12.166666666666698,1
57,0.79,12.755555555555599,1
58,0.84,13.838888888888901,1
59,0.73,16.1833333333333,0
60,0.67,17.516666666666698,0
61,0.67,17.3833333333333,0
62,0.71,17.3611111111111,0
63,0.74,17.2055555555556,0
64,0.81,15.6333333333333,1
65,0.9,13.5777777777778,1
66,0.86,10.911111111111099,1
67,0.99,8.8,1
68,0.93,8.961111111111109,1
69,0.96,8.2,1
70,0.96,7.68888888888889,1
71,0.96,7.76666666666666,1
72,0.96,8.2,1
73,0.93,8.17777777777778,1
74,0.82,7.31111111111111,1
75,0.93,7.64444444444444,1
76,0.93,6.62222222222222,1
77,0.93,6.68333333333333,1
78,0.93,6.0888888888888895,1
79,0.93,6.06666666666667,1
80,0.93,6.14444444444445,1
81,0.8,7.13333333333334,1
82,0.86,7.205555555555559,1
